iter	Passed	Remaining
0	144	144418
1	145	72694
2	146	48732
3	147	36688
4	147	29447
5	148	24604
6	149	21151
7	150	18642
8	151	16638
9	152	15108
10	153	13809
11	154	12731
12	155	11819
13	156	11025
14	157	10342
15	158	9763
16	160	9256
17	162	8838
18	163	8450
19	164	8079
20	165	7737
21	167	7436
22	168	7159
23	169	6900
24	171	6675
25	172	6464
26	174	6271
27	175	6086
28	176	5908
29	177	5749
30	179	5602
31	180	5464
32	181	5328
33	183	5215
34	184	5098
35	186	4983
36	187	4877
37	188	4776
38	189	4678
39	191	4588
40	192	4501
41	193	4414
42	194	4332
43	195	4253
44	197	4185
45	198	4111
46	199	4044
47	200	3979
48	201	3916
49	202	3854
50	203	3793
51	204	3733
52	205	3675
53	206	3620
54	207	3567
55	208	3519
56	210	3474
57	211	3427
58	212	3381
59	213	3347
60	214	3309
61	215	3266
62	217	3229
63	218	3193
64	219	3158
65	220	3122
66	221	3088
67	222	3046
68	223	3012
69	224	2980
70	225	2949
71	226	2918
72	227	2889
73	228	2859
74	229	2830
75	230	2802
76	231	2776
77	232	2751
78	233	2726
79	234	2701
80	235	2675
81	236	2650
82	238	2629
83	239	2609
84	239	2583
85	240	2561
86	241	2536
87	242	2514
88	243	2493
89	244	2472
90	245	2452
91	246	2433
92	247	2417
93	248	2399
94	250	2381
95	251	2365
96	252	2347
97	253	2331
98	254	2315
99	255	2299
100	256	2284
101	257	2264
102	258	2249
103	259	2235
104	260	2220
105	261	2206
106	262	2194
107	264	2181
108	265	2167
109	266	2153
110	267	2139
111	268	2126
112	269	2115
113	270	2104
114	271	2092
115	272	2079
116	274	2069
117	275	2057
118	276	2045
119	277	2037
120	279	2027
121	280	2017
122	280	2002
123	281	1991
124	283	1981
125	284	1972
126	285	1962
127	286	1949
128	287	1940
129	288	1931
130	289	1923
131	291	1914
132	292	1906
133	293	1896
134	294	1887
135	295	1878
136	296	1870
137	297	1860
138	299	1852
139	300	1844
140	301	1835
141	302	1826
142	303	1818
143	304	1810
144	305	1803
145	307	1796
146	308	1788
147	309	1780
148	310	1772
149	311	1764
150	312	1757
151	313	1750
152	315	1743
153	316	1736
154	317	1728
155	318	1721
156	319	1714
157	320	1707
158	321	1701
159	322	1695
160	324	1689
161	325	1684
162	326	1678
163	328	1672
164	329	1667
165	330	1660
166	331	1654
167	332	1648
168	333	1641
169	336	1644
170	338	1639
171	339	1632
172	340	1626
173	341	1619
174	342	1613
175	343	1607
176	344	1602
177	345	1595
178	346	1589
179	347	1582
180	347	1574
181	348	1567
182	349	1562
183	351	1557
184	352	1552
185	353	1548
186	354	1542
187	356	1537
188	356	1531
189	357	1525
190	358	1519
191	359	1513
192	360	1508
193	361	1502
194	362	1497
195	363	1492
196	364	1487
197	365	1481
198	366	1476
199	367	1471
200	368	1466
201	369	1461
